Bedriftsnavn,Adresse,Postnummer,Poststed,Godkjenningstyper,Organisasjonsnummer,Godkjenningsnummer
NIO NORWAY AS,Ensjøveien 17,655,OSLO,BILVERKSTED01,926736752,31818
Røros Bilskade AS,Stamphusveien 13,7374,RØROS,SKADEVERKSTED01,990726795,10932
Oslo Bremseservice AS,Konghellegata 3,569,OSLO,"BILVERKSTED01, KONTROLLORGAN01",926753045,1479
HARSTAD BILSKADE AS,Storåkeren 9,9411,HARSTAD,"MOTORSYKKELOGMOPED, SKADEVERKSTED01",996317749,20279
MINGES UNIVERSAL SERVICE AS,KROKSUNDVEIEN 40,1860,TRØGSTAD,"BILVERKSTED01, KONTROLLORGAN01",813875012,30504
"Vestfold Maskin AS, Eiksenteret Stokke",Melsomvikveien 7,3160,STOKKE,"KONTROLLORGAN05, TRAKTOR",984736878,19539
NAF Senter Kristiansand,Skibåsen 33,4636,Kristiansand,"BILVERKSTED01, KONTROLLORGAN01",987372540,5613
Ets Bilservice AS,Skånlandsveien 55,9440,EVENSKJER,"BILVERKSTED01, KONTROLLORGAN01",986787828,9226
RIIS MONTASJE AS avd. Liertoppen 807,Vestre Kjennervei 1,3420,LIERSKOGEN,BILGLASS,921979436,29539
Tingelstad Karosseri & Mek. verksted,Jorstadlinna 113,2760,BRANDBU,BILVERKSTED01,956253217,2931
LIER TRAKTOR A/S,Øvre Eikervei 75,3048,DRAMMEN,"BILVERKSTED01, KONTROLLORGAN01",935041511,3696
Nor-Ka AS,Nerstad,3350,Prestfoss,PABYGGER,984589824,3403
Cary Bilglass avd Åsane,Åsane Senter 37,5116,ULSET,BILGLASS,913387783,32017
Landbruk og Transportservice AS,Strandveien 20,9050,STORSTEINNES,"BILVERKSTED01B, BILVERKSTED02, BILVERKSTED03, MOTORSYKKELOGMOPED, TRAKTOR",992852585,13519
Ørjedal Maskin AS,Arborveien 3,8690,HATTFJELLDAL,TRAKTOR,945339276,20482
Odd Grødum Transport AS,Tveideveien 402,4760,BIRKELAND,BILVERKSTED03,992847557,31643
Finnås Auto AS,Kanalveien 1,5437,FINNÅS,"BILVERKSTED01, KONTROLLORGAN01",978653367,6753
AS Insignia,Konows gate 67 B,196,oslo,"BILVERKSTED01, KONTROLLORGAN01",979474075,1528
LURA AUTO SERVICE AS,Luramyrveien 21,4313,SANDNES,"BILVERKSTED01, KONTROLLORGAN01",916100132,29714
MC VERKSTEDET SPINNIN WHEEL MORTEN KVILHAUG,THORSHAUGVEIEN 17,3090,HOF,MOTORSYKKELOGMOPED,963666187,30357
KENNETH ARNESEN BILVERKSTED AS,KJÆSEGGVEIEN 100,1859,SLITU,"BILVERKSTED01, KONTROLLORGAN01",917151784,30094
SNAP DRIVE A.S  AVD. ÅSANE,Åsamyrene 78,5116,ULSET,"BILVERKSTED01, KONTROLLORGAN01",971585188,6680
Autolast Møre AS,Lerstadveien 304,6014,Ålesund,"ALKOLASVERKSTED, BILVERKSTED01, BILVERKSTED02, BILVERKSTED03, FARTSSKRIVER, KONTROLLORGAN04, PABYGGER, TRAKTOR",982830834,7320
DEKKTEAM AS avd. Tromsø,Skattøravegen 50,9018,TROMSØ,HJUL,870897332,29696
LEVA-FRO AS,GAMLE KONGEVEG 92A,7604,LEVANGER,HJUL,964417210,31397
Gules Mek og Landbruksverkstad AS,Hardangerfjordvegen 569,5610,ØYSTESE,"KONTROLLORGAN05, TRAKTOR",956648092,25241
HAUGLI SVERRE BILFORR. A/S,STORGT. 26,3510,HØNEFOSS,"BILVERKSTED01, KONTROLLORGAN01",912501906,3394
SARPSBORG BILSENTER A/S,Engsmyrveien 25,1739,BORGENHAUGEN,"BILVERKSTED01, KONTROLLORGAN01",965491058,107
AUTOGLASS TRONDHEIM AS,Tempeveien 35,7031,TRONDHEIM,BILGLASS,923319298,29384
PORSCHE CENTER BERGEN AS,Kokstaddalen 23,5257,KOKSTAD,"BILVERKSTED01, KONTROLLORGAN01",914985153,29214
Nordvik AS avd. Andøy,Saura,8485,DVERBERG,"BILVERKSTED01, KONTROLLORGAN01",946549770,30239
A BIL AS,BROBEKKVEIEN 52,598,OSLO,HJUL,993020230,30057
LAMPELAND AUTO A/S,LAMPELAND,3623,LAMPELAND,BILVERKSTED01,917938199,3914
HANDICARE AS,Fabrikkveien9,4033,STAVANGER,PABYGGER,965395830,30010
RIIS MONTASJE AS AVD TRONDHEIM,TORGARDSTRØA 2,7093,TILLER,BILGLASS,974099888,30683
DEKKTEAM AS,Industriveien 9,1473,LØRENSKOG,HJUL,870897332,32326
AGDER TUNNELSERVICE AS,Svegeskogen 11,4400,FLEKKEFJORD,"PABYGGER, TRAKTOR",921160933,31452
CARGLASS AS avd. Orkdal,Grønøra Industriområde,7300,ORKANGER,BILGLASS,985758220,30312
TK Auto AS,Brårveien 4a,3174,REVETAL,"BILVERKSTED01B, KONTROLLORGAN01B",989133284,11832
SKIPTVET BILSERVICE AS,STORVEIEN 15,1816,SKIPTVET,"BILVERKSTED01B, KONTROLLORGAN01B, SKADEVERKSTED01",918113843,30215
ØYA BIL AS,Skansen 10,2670,OTTA,"BILVERKSTED01B, BILVERKSTED02, KONTROLLORGAN01B, MOTORSYKKELOGMOPED",976933184,2817
BILSERVICE SANDVIKA AS avd Jongsåsveien,Jongsåsveien 4,1337,SANDVIKA,"BILVERKSTED01, KONTROLLORGAN01",918353046,31475
DEKKTEAM AS avd. Skarnes,Slomarka 22,2100,SKARNES,HJUL,870897332,29879
Autocenteret Fjeldstad A/S,Hvittingfossveien 25,3080,HOLMESTRAND,"BILVERKSTED01, KONTROLLORGAN01",830614222,4123
AUTO DRIVE BILVERKSTED AS,Koppholen 11,4313,SANDNES,"BILVERKSTED01, KONTROLLORGAN01",921018878,31553
DRAMMEN AUTO 7 AS,Buskerudveien 117,3024,DRAMMEN,BILVERKSTED01,998923816,32140
Autobudget Service AS,Bedriftsvegen 76,3735,SKIEN,"BILVERKSTED01, KONTROLLORGAN01",924028351,31634
Haugaland Hage & Motor/Låsfag as,Karmsundgata 52,5529,HAUGESUND,"HENGERESPALOPSBREMSEANLEGG, MOTORSYKKELOGMOPED",915656188,30922
Bertel O. Steen Ullevål AS,Klaus Torgårdsvei 3,372,OSLO,"BILVERKSTED01B, KONTROLLORGAN01B",959002169,1386
Motor Technik AS,Rødmyrsvingen 60,3735,SKIEN,"BILVERKSTED01, KONTROLLORGAN01",924661895,30447
MINNESUND AUTOPARTNER AS,Trondheimsveien 565,2092,MINNESUND,"BILVERKSTED01, KONTROLLORGAN01",916827032,29951
Fron Diesel AS,Maskinvegen 1,2630,RINGEBU,"BILVERKSTED01, BILVERKSTED02, BILVERKSTED03, FARTSSKRIVER, KONTROLLORGAN04, TRAKTOR",899005902,26342
Bil & Dekkservice Slomarka AS,Slomarka 9,2100,SKARNES,"BILVERKSTED01, HJUL, KONTROLLORGAN01",923311831,31359
FEVIK DEKK AS,GRØM NÆRINGSPARK 17,4887,GRIMSTAD,HJUL,914045657,30917
Motorhuset Borkenes AS,Tverrveien 1,9475,Borkenes,"BILVERKSTED01B, KONTROLLORGAN01",941106609,9411
Monsen Maskin AS,Ilaveien 97,1605,FREDRIKSTAD,"HENGERESPALOPSBREMSEANLEGG, MOTORSYKKELOGMOPED",995944863,20621
BILMESTER1 TROMSØ AS,STAKKEVOLLVEGEN 329,9019,TROMSØ,"BILVERKSTED01, KONTROLLORGAN01",814425592,28431
BR. BAKKES BILVERKSTED A/S,Storvegen.45,2420,Trysil,"BILVERKSTED01B, KONTROLLORGAN01B, MOTORSYKKELOGMOPED",927376954,2244
MOTORI AS,ROGNEVEGEN 11,4352,KLEPPE,HJUL,918786317,30467
Figgjo Autoservice,Figgenveien 34,4332,Figgjo,"BILVERKSTED01, KONTROLLORGAN01",985024839,6164
Møller Bil Vest AS Møller Bil Skadesenter Rud,Olav Ingstadsvei 8,1351,RUD,SKADEVERKSTED02,928481638,974
Bergens  Auto AS,Kokstaddalen 5,5257,KOKSTAD,"BILVERKSTED01B, BILVERKSTED02, BILVERKSTED03, FARTSSKRIVER, KONTROLLORGAN01B, KONTROLLORGAN02, KONTROLLORGAN03",990525838,6599
Vestfold Customs/Vestfold Chiptuning AS,Stensarmen 4,3112,TØNSBERG,BILVERKSTED01,923950257,31877
NAF Senter Trondheim,Ivar Lykkers veg 9,7075,TILLER,"BILVERKSTED01B, KONTROLLORGAN01B",987372540,8200
OPSAL OG FJELNSET AS,Kårøydalsveien 6,7203,VINJEØRA,"BILVERKSTED01, BILVERKSTED01B, BILVERKSTED02, BILVERKSTED03, KONTROLLORGAN04, TRAKTOR",932223937,8323
PRO MEK AS,VALHALLAVEGEN 10,2060,GARDERMOEN,"BILVERKSTED01B, KONTROLLORGAN01B",823185642,31558
Bjørn Moens Bilverksted,Rafnesveien 10,3965,HERRE,"BILVERKSTED01, KONTROLLORGAN01",970157824,4861
AUTO - TANK AS,Industriveien,2072,DAL,PABYGGER,984366787,1234
Osan Servicenter AS,Kongsvatnveien 1,8300,SVOLVÆR,"BILVERKSTED01, KONTROLLORGAN01",988934690,9291
thansen AS avd. Jessheim,Nordre Dølibekken 14,2050,JESSHEIM,HJUL,923897682,31896
Lyseng Billakkering,Norderhovsveien 23,3512,Hønefoss,SKADEVERKSTED02,855135752,3310
Biltrend Vesterålen AS,Vesterålsgata 144,8403,SORTLAND,"BILVERKSTED01, KONTROLLORGAN01",985527474,9324
Frosta Bilverksted AS,Bergsåsvegen 19,7633,FROSTA,"BILVERKSTED01, KONTROLLORGAN01",993954810,14498
Furre Bilverksted DA,Reiersølveien 696,4821,Arendal,"BILVERKSTED01, KONTROLLORGAN01",992126698,5348
Badderen Servicesenter,Kvænangsveien 2380,9162,SØRSTRAUMEN,"BILVERKSTED01, KONTROLLORGAN01",976764250,23720
HØYLANDET AUTO AS RØRVIK,Nyvegen 32,7900,Rørvik,"BILVERKSTED01B, KONTROLLORGAN01B",987739231,8755
AUTOPLUG AS,Kjellerbakken,8146,REIPÅ,HJUL,987620579,29781
MJØLKALID EINDRIDE,Vassdal 85,8170,ENGAVÅGEN,BILVERKSTED01B,969339951,31479
Bilco Bilverksted AS,Maskinveien 16,4033,STAVANGER,"BILVERKSTED01, KONTROLLORGAN01",932220377,6073
GO DEKK AS,ÅNESTADVEGEN 14,4360,VARHAUG,HJUL,999632882,30622
Vang Auto-service  AS,Tyinvegen 5340,2975,VANG I VALDRES,"BILVERKSTED01, KONTROLLORGAN01",927563622,3213
MDESIGN AS,Gunnar Bergs vei 28,8300,SVOLVÆR,HJUL,913857461,29793
Vuku Auto AS,Bredingsberg  6,7660,VUKU,"BILVERKSTED01B, KONTROLLORGAN01B",983039081,8551
Dokka Bilco AS,Jevnakervegen 21,2870,DOKKA,"BILVERKSTED01, KONTROLLORGAN01, MOTORSYKKELOGMOPED",864301002,2961
IPLAST AS,INDUSTRIVEIEN 15,3090,HOF,HJUL,993462020,30441
Gjøvik Biloppretting A/S,Sommerrovegen 7,2816,Gjøvik,SKADEVERKSTED02,986716408,2993
NORDIC BILSERVICE AS,Andreas Linds gate 9,9406,HARSTAD,"BILVERKSTED01, HJUL",929958527,32414
Melhus Bil Orkanger AS,Bårdshaug Vest,7300,ORKANGER,"BILVERKSTED01B, KONTROLLORGAN01B, SKADEVERKSTED01",914118824,27501
RIIS MONTASJE AS - avd. Strømmen,Bråtebrua 1,2010,STRØMMEN,BILGLASS,921979436,32388
VARDEBERG DEKK GEIR OLAV FINSTAD,VARDEBERGVEGEN 470,2337,TANGEN,HJUL,911789973,29195
Bilsenteret Haugesund AS,Hemmingstadvegen 15,5535,HAUGESUND,"BILVERKSTED01, KONTROLLORGAN01",917710406,31252
Bilmekaniker'n Fron AS,Transportvegen 8,2640,VINSTRA,"BILVERKSTED01, KONTROLLORGAN01",983047963,2849
Autofix Moss AS,Vålerveien 159,1599,MOSS,"BILVERKSTED01, KONTROLLORGAN01",912782735,26201
RSA BIL Trondheim,Vestre Rosten 71,7072,HEIMDAL,"BILVERKSTED01B, KONTROLLORGAN01B",915518389,30764
Eides Motorservice,Tennskjerveien 549,9302,ROSSFJORDSTRAUMEN,"HENGERESPALOPSBREMSEANLEGG, MOTORSYKKELOGMOPED",990181519,27301
Slemmestad Karosseri og Lakk AS,Evjetun Industriområde 8,3470,SLEMMESTAD,"PABYGGER, SKADEVERKSTED02",916846606,26562
Tilhengerservice Skien AS,TROMMEDALSJORDET 7,3735,SKIEN,HENGERESPALOPSBREMSEANLEGG,998552591,29873
LIE DEKK OG FELG,ØSTSIDEVEIEN 1703,6570,SMØLA,HJUL,922312540,31158
VIANOR AS Jessheim,Brannmannsvegen 4,2069,JESSHEIM,HJUL,935429447,30660
Bil og Trucksenter Valdres AS,Kalplassen,2920,LEIRA I VALDRES,"BILVERKSTED01B, EKSOSANLEGG, HJUL, KONTROLLORGAN01B, LYSUTSTYR",886836872,24701
KIRKENES SERVICE AS,DR. WESSELS GATE 6,9900,KIRKENES,HJUL,996993051,30210
KG MOTOR AS,ROKKEVEIEN 14,1779,HALDEN,"BILVERKSTED01, KONTROLLORGAN01",915356559,30459
Mickelson Karosseri Elverum AS,Torolf Storsveensveg 18,2406,ELVERUM,SKADEVERKSTED02,892639922,12732
DEKKSERVICE BREIM AS,Fjellvegen 5,6826,BYRKJELO,HJUL,818614802,30626
RD SERVICEPARTNER AS,Haugsjordet 15,3145,TJØME,HJUL,999014453,29390
Jørpeland Bilverksted A/S,Nedre Barkvedvegen 13,4100,Jørpeland,"BILVERKSTED01, KONTROLLORGAN01",952594605,5996
Hadeland MC og Fritid AS,Storlinna 127,2770,JAREN,MOTORSYKKELOGMOPED,984742088,3023
Tor & Bjørn Autoservice AS,Storåkeren 9,9411,HARSTAD,"BILVERKSTED01, KONTROLLORGAN01",939188282,9425
Surnadal lastebilverksted AS,Industrivegen 49,6652,Surnadal,"ALKOLASVERKSTED, BILVERKSTED01, BILVERKSTED02, BILVERKSTED03, FARTSSKRIVER, KONTROLLORGAN04, PABYGGER",985894078,7860
STRYN BENSINSTASJON AS,TONNINGSGATA 2,6783,STRYN,"HJUL, LYSUTSTYR",935837685,30416
NONSLID BIL FRAKKAGJERD AS,SKJOLDAVIKVEGEN 178,5574,SKJOLD,"BILVERKSTED01B, KONTROLLORGAN01B",924507527,31454
NORSK SCANIA AS avdeling Molde,Baklivegen 3,6450,HJELSET,"BILVERKSTED02, BILVERKSTED03, FARTSSKRIVER, KONTROLLORGAN04, PABYGGER, SKADEVERKSTED01, TRAKTOR",879263662,30418
BDPS BIL & DIESELPUMPESERVICE A/S,Kokstadflaten 32,5257,BERGEN,"BILVERKSTED01B, KONTROLLORGAN01B",981954831,6559
BIL SKADE OG LAKK1 AS,Micheletveien 54,1053,OSLO,SKADEVERKSTED02,929027019,32198
Teknisk Bureau Sortland AS,Strandgata 60,8403,SORTLAND,"ALKOLASVERKSTED, BILVERKSTED01B, BILVERKSTED02, BILVERKSTED03, FARTSSKRIVER, KONTROLLORGAN01B, KONTROLLORGAN02, KONTROLLORGAN03, SKADEVERKSTED02",935396387,9340
K.O. JAKOBSEN AS,Ytterveien 61,9302,ROSSFJORDSTRAUM,"HENGERESPALOPSBREMSEANLEGG, HJUL",914405491,31517
Norsk Scania AS avd. Otta,Dahlemoen 39,2670,OTTA,"ALKOLASVERKSTED, BILVERKSTED01, BILVERKSTED02, BILVERKSTED03, FARTSSKRIVER, KONTROLLORGAN04, TRAKTOR",879263662,2815
Andebu Bensin & Service Avd. Verksted,Andebuv. 802   Gravdal,3158,Andebu,"BILVERKSTED01B, KONTROLLORGAN01B",982767253,4726
Lier Auto AS,Gjellebekkstubben 21,3420,LIERSKOGEN,"BILVERKSTED01, KONTROLLORGAN01",994295411,15398
EK-TUFTE VERKSTED,RYFYLKEVEGEN 5391,4137,ÅRDAL I RYFYLKE,BILVERKSTED01B,923878025,29936
Br. Bakk A/S,Kjelklia Industriområde,6690,Aure,"BILVERKSTED01, BILVERKSTED02, BILVERKSTED03, KONTROLLORGAN04, MOTORSYKKELOGMOPED, TRAKTOR",948073579,7857
ÅRSKOG AUTOTRANS AS,Hjalmavegen 9,6773,NORDFJORDEID,"BILVERKSTED01, PABYGGER, TRAKTOR",926443143,32342
"BODØ V. G. SKOLE, BILAVD.",Amtmann Hegges Vei 3/4,8005,BODØ,"BILVERKSTED01, KONTROLLORGAN01",974621223,9004
Varhaugs Diesel Elektro AS,Bedriftsveien 24,4313,SANDNES,BILVERKSTED01,934418867,5988
Øyes Karosseri AS,Kongsveien 90,6523,FREI,SKADEVERKSTED02,911877082,25621
X-TEAM AS,Bunes Gård,1950,RØMSKOG,"BILVERKSTED01, MOTORSYKKELOGMOPED",990884196,29929
MARSHALL VALDRES AS,VALDRESVEGEN 87,2900,FAGERNES,SKADEVERKSTED01,920278280,31951
MC Verkstedet AS,Industrivegen 53,5210,OS,MOTORSYKKELOGMOPED,926645137,6512
Sandem A/S,Serviceveien 2,1940,BJØRKELANGEN,SKADEVERKSTED02,979659695,1092
NT Maskin AS,Arve Skjeflos veg 2B,7713,STEINKJER,TRAKTOR,993613770,27541
Stiftelsen Haugesjøen,Sundgata 179,5527,HAUGESUND,BILVERKSTED01,951414700,6485
TELLNES AUTOSENTER AS,TELLNES NÆRINGSPARK 28,5357,FJELL,"ALKOLASVERKSTED, BILVERKSTED01B, BILVERKSTED02, BILVERKSTED03, FARTSSKRIVER, KONTROLLORGAN04, MOTORSYKKELOGMOPED, SKADEVERKSTED02, TRAKTOR",916334354,29973
HH Bilskade AS,Nedre Hagavei 15,2150,ÅRNES,SKADEVERKSTED02,991211128,10410
Sven Kvia AS avd. Alleen Auto Lyngdal,Grønndokkmoen 12A,4580,LYNGDAL,"BILVERKSTED01, KONTROLLORGAN01",845933162,5788
JØMNA CARAVAN AS,KVERNDALSVEGEN 35,2416,JØMNA,HENGERESPALOPSBREMSEANLEGG,990406006,30002
STJØRDAL BILGLASS AS,VÆRNESGATA 9,7503,STJØRDAL,BILGLASS,992848170,28396
Meca Service avd. Reime Bil,Hålandsvegen 37,4340,Bryne,"BILVERKSTED01B, KONTROLLORGAN01B",920377068,6222
MOSBÆKS BILVERKSTED,Storgt.36,1870,Ørje,BILVERKSTED01,969949245,203
Skjellerud Verksted ANS,Sagvollveien 467,2830,Raufoss,"BILVERKSTED01B, KONTROLLORGAN01",983190766,2945
Austevoll Auto AS,Vik,5396,Vestre Vinnesvåg,"BILVERKSTED01B, BILVERKSTED02, BILVERKSTED03, KONTROLLORGAN01B, KONTROLLORGAN02, KONTROLLORGAN03",983984266,6736
Willys Verksted AS,Nedre Øyra 7a,8514,NARVIK,BILVERKSTED01,979433395,9218
Cary Bilglass avd Trondheim,Bratsbergveien 11-13,7037,TRONDHEIM,BILGLASS,913387783,29485
Fix Bil Landås Bilverksted AS,Kolstien 2,5097,BERGEN,"BILVERKSTED01, KONTROLLORGAN01",985375186,6769
R. M. EINARSEN,MEFJORDVEIEN 1907,9386,SENJAHOPEN,HJUL,997442199,31318
Intakt Bilskade Helgeland AS,Vefsnvegen 9,8656,MOSJØEN,SKADEVERKSTED02,931912852,8812
TRIO MOTOR & MC TEKNIKK AS,LIERSTRANDA 55,3414,LIERSTRANDA,MOTORSYKKELOGMOPED,983179525,30222
"Vianor AS, avd. Skien",Kjørbekkdalen 7,3735,SKIEN,HJUL,935429447,30736
BILENS EKSOSANLEGG BERGEN AS,NEDBERGEVEIEN 9,5178,LODDEFJORD,EKSOSANLEGG,976300165,29380
Bø Bilverksted v/Haugen,Elvefaret 4,3802,BØ I TELEMARK,BILVERKSTED01,997731166,21839
Bil i Nord AS avd. Leknes,Mjånesveien 1,8370,LEKNES,"BILVERKSTED01B, KONTROLLORGAN01B",983666280,31372
Møller Bil Bergen AS avdeling Minde,Kanalveien 3,5068,BERGEN,"BILVERKSTED01, KONTROLLORGAN01",834083922,6601
THANSEN Elverum AS,Prestmyrvegen 5,2413,ELVERUM,HJUL,923897682,31267
Persontransport Norge AS,Østre Aker Vei 60,581,OSLO,BILVERKSTED01B,987569824,25202
"DEKKTEAM AS, avd. Årnes",Leirvegen 18,2150,ÅRNES,HJUL,870897332,29436
MELDAL DEKK OG SERVICE AS,ORKLAVEIEN 4,7336,MELDAL,"BILVERKSTED01, HENGERESPALOPSBREMSEANLEGG, HJUL",927237571,31873
Bilverket AS,CASPAR STORMS VEI 2,664,OSLO,"BILVERKSTED01, KONTROLLORGAN01",921644329,30986
Team Verksted AS Otta,Dahlemoen 25,2670,Otta,"BILVERKSTED01, BILVERKSTED02, BILVERKSTED03, FARTSSKRIVER, KONTROLLORGAN04, PABYGGER",946930342,2820
ALFA GLASS AS,UTLEIRVEGEN 135,7036,TRONDHEIM,BILGLASS,998380006,29828
Auto Konsult Trondheim AS,Øvre Flatåsveg 6,7079,Flatåsen,"BILVERKSTED01, KONTROLLORGAN01",985483515,8119
MINNESUND DEKK & SERVICE AS,TRONDHEIMSVEGEN 584,2092,MINNESUND,HJUL,916014597,29591
MC GARASJEN AS,Langstranda 1C,8003,BODØ,MOTORSYKKELOGMOPED,819935602,30723
Kasin Bilverksted,Hagaliavegen 21,3677,NOTODDEN,"BILVERKSTED01, KONTROLLORGAN01",996219739,17280
MREXX MOTOR AS,INGENIØR RYBERGS GATE 103,3027,DRAMMEN,MOTORSYKKELOGMOPED,924572108,31858
"Felleskjøpet Agri SA, avd. Hønefoss",Ankersgate 22,3513,HØNEFOSS,"KONTROLLORGAN05, TRAKTOR",911608103,30609
BILSKADESENTER TRØNDELAG AS,STAVSJØVEGEN 25,7550,HOMMELVIK,SKADEVERKSTED02,982102049,28257
MOSS DEKK AS,RABEKKGATA 3,1523,MOSS,HJUL,921836686,31080
VIANOR AS AVD. KOKSTAD,Kokstaddalen 49,5257,KOKSTAD,HJUL,935429447,31929
VIANOR AS avd Haugesund,Raglamyrvegen 11,5536,HAUGESUND,"BILVERKSTED01, BILVERKSTED01B, KONTROLLORGAN01, KONTROLLORGAN01B",935429447,24540
Nye Vøling Auto AS,Åse,8484,Risøyhamn,"BILVERKSTED01B, KONTROLLORGAN01B, SKADEVERKSTED01",987345284,9341
Alfaset Autoverksted AS,Strømsveien 308,1081,OSLO,"BILVERKSTED01B, KONTROLLORGAN01B",962963897,1492
HOB Verkstedsenter AS,Hollaveien 2 C,7200,KYRKSÆTERØRA,"BILVERKSTED01, BILVERKSTED01B, BILVERKSTED02, BILVERKSTED03, FARTSSKRIVER, KONTROLLORGAN04, SKADEVERKSTED01, TRAKTOR",987062894,8346
KOPERVIK BIL AS,VESTHEIMVEGEN 4,4250,KOPERVIK,HJUL,913976002,30963
Skjærvik`s Scooter & MC AS,Saltfjellveien 426,8615,Grubhei,MOTORSYKKELOGMOPED,989165011,8959
HØYLAND BIL AS,Salhussletta 5,8907,BRØNNØYSUND,"BILVERKSTED01, KONTROLLORGAN01",998425301,13496
ÅSENSENTERET ELBILVERKSTED AS,AUGLENDSMYRÅ 8,4016,STAVANGER,BILVERKSTED01B,917634785,30271
"Linkjendal Bilforretning As, avd. bobilverksted",Industriveien 14,3766,SANNIDAL,"BILVERKSTED01B, KONTROLLORGAN01B",932728982,31121
HOVDE BIL AS,Fabrikkveien 30 Katfoss,3360,GEITHUS,HJUL,993800570,30757
Autoklinikken /Ital Bilservice AS,Bedriftsveien 10,950,OSLO,"BILVERKSTED01, KONTROLLORGAN01",988217220,1570
BIL i NORD AS avd. Mo i Rana,Steinbekkhaugveien 15,8610,Mo i Rana,"BILVERKSTED01, KONTROLLORGAN01",983666280,8911
AUTOEXPERTEN KONGSVINGER AS,Lerkevegen 62,2209,KONGSVINGER,"BILVERKSTED01, HJUL, KONTROLLORGAN01",928468232,32041
BLOM SERVISE SENTER AS.,,5337,RONG,"BILVERKSTED01, KONTROLLORGAN01",976274059,6623
Auto 8-8 Forum AS,Sanderplassen 2,6813,FØRDE,"BILVERKSTED01B, KONTROLLORGAN01B, SKADEVERKSTED02",959167915,7067
Western Bilgummi AS,Ringeriksvn. 22 a,3414,LIERSTRANDA,"HJUL, HJULUTRUSTNING",951814660,3740
SKÅLA AUTO AS,HOVDENAKVÅGEN 16,6456,SKÅLA,"BILVERKSTED01, KONTROLLORGAN01",920568076,30753
Kr. Repseth Auto AS,Matrandvegen 31,2230,Skotterud,"BILVERKSTED01B, KONTROLLORGAN01B",979944497,2409
CARGLASS AS avd. Sandnes,Jakob Askelands vei 1,4314,SANDNES,BILGLASS,985758220,28737
Motor Forum AS avd Drammen,Ingvald Ludvigsengate 21,3027,DRAMMEN,"BILVERKSTED01, KONTROLLORGAN01, SKADEVERKSTED02",995515784,16858
H-MEK AS,Haukanesvegen 91,5652,ÅRLAND,TRAKTOR,918976639,30809
NORASONDEGRUPPEN AS,Blakervegen 11A,1920,SØRUMSAND,HJUL,914671965,29954
Lier Lastebilservice AS,Gjellebekkstubben 29,3420,LIERSKOGEN,"BILVERKSTED01, BILVERKSTED02, BILVERKSTED03, FARTSSKRIVER, KONTROLLORGAN04",991741569,31550
MB Service Skien AS,Trommedalsvegen 231,3735,SKIEN,BILVERKSTED01,929568176,32286
Larsnes Auto A/S,Halleskifte,6084,Larsnes,"BILVERKSTED01B, KONTROLLORGAN01B",970922520,7502
BERGEN BILLAKKERING AS,HESTHAUGVEGEN 18,5119,ULSET,SKADEVERKSTED02,914228573,29923
NØSEN & CO AS,Orkdalsvegen 604,7320,Fannrem,"BILVERKSTED01B, KONTROLLORGAN01B",993757446,8312
Snap Drive AS avd. Majorstua,Sørkedalsveien 10 B,369,OSLO,"BILVERKSTED01, KONTROLLORGAN01",971585188,1354
Rebil A/S,Tornerosev 14,4391,Sandnes,"BILVERKSTED02, BILVERKSTED03",950023724,6087
Automegler1 Service AS,Lønningsvegen 39,5258,BLOMSTERDALEN,"BILVERKSTED01, KONTROLLORGAN01",997627393,20979
Solberg Bil AS avd. Autopluss,Porsgrunnsveien 261,3736,SKIEN,"BILVERKSTED01B, KONTROLLORGAN01B",928103277,28411
CARFIX FITJAR AS,Fitjar Sentrum,5419,FITJAR,"BILVERKSTED01, KONTROLLORGAN01",979595395,6758
FREDRIKSTAD BILPLEIE SERVICE FARHAD TAHA KADIR,DAMMYR 16B,1605,FREDRIKSTAD,HJUL,987328495,31355
Tores Auto Ågotnes AS,Kvernatunvegen 3,5347,ÅGOTNES,"BILVERKSTED01, KONTROLLORGAN01",899515692,23600
Autopluggen,Nils Hansens vei 18,667,OSLO,"BILVERKSTED01, KONTROLLORGAN01",873198192,1342
Toyota Sulland Gjøvik AS,Autoveien 3,2807,HUNNDALEN,"BILVERKSTED01, KONTROLLORGAN01",957631312,2997
Norsk Scania AS avd. Narvik,Fagernesveien 145,8514,Narvik,"ALKOLASVERKSTED, BILVERKSTED02, BILVERKSTED03, FARTSSKRIVER, KONTROLLORGAN02, KONTROLLORGAN03, SKADEVERKSTED02, TRAKTOR",879263662,9204
Kvinnherad Bil & Teknikk AS,Teigarustene 1,5460,Husnes,"BILVERKSTED01, KONTROLLORGAN01",983906818,6731
MILA BIL A/S,Brugata 17,2500,Tynset,"BILVERKSTED01, KONTROLLORGAN01",945722525,2322
DEKK24 AS,Solgaard skog 80,1599,MOSS,HJUL,998052564,32272
Autoin Bilskade Ryen AS,Ryensvingen 2-4,608,OSLO,SKADEVERKSTED02,889948272,16058
HOLE BILVERKSTED,Frøysugata 120,3530,RØYSE,BILVERKSTED01,979175108,3418
PETTERSENS SERVICE,MAKKAURVEGEN 11,9990,BÅTSFJORD,HJUL,917041148,31361
BILXPERTEN BOSCH AS,Persveien 32,581,OSLO,"BILVERKSTED01B, KONTROLLORGAN01B",998657032,25643
MELAND AUTO A/S,Mjåtveitflaten 17,5918,FREKHAUG,"BILVERKSTED01B, KONTROLLORGAN01B",965510621,6504
